HH_Dippenaar 8 187 290
GP_Swann 44 428 491
Adnan_Akmal 4 62 92
Naved-ul-Hasan 20 231 272
RS_Bopara 106 2583 3390
Mohammed_Shami 18 106 115
Al-Amin_Hossain 6 4 20
Shoaib_Malik 98 2847 3487
Nasir_Jamshed 46 1378 1864
Shuvagoto_Hom 3 70 88
RW_Price 37 268 457
MA_Ouma 23 375 652
DC_Thomas 19 238 379
R_Clarke 2 39 48
R_Gunasekera 12 255 458
RDM_Leverock 9 45 121
MP_Vaughan 12 252 381
HS_Baidwan 12 117 182
Rizwan_Cheema 13 196 167
WD_Parnell 23 364 487
TT_Bresnan 61 830 953
MS_Wade 51 1111 1423
CK_Langeveldt 14 66 111
RD_Berrington 19 448 632
Dawlat_Zadran 21 159 266
DAJ_Bracewell 7 59 90
KD_Mills 59 759 836
UT_Yadav 15 52 92
RAS_Lakmal 16 29 87
Dolar_Mahmud 4 61 44
JWM_Dalrymple 25 460 622
KMDN_Kulasekara 102 1230 1504
MM_Iqbal 5 45 114
RG_Aga 3 113 113
TG_Gordon 4 23 58
UT_Khawaja 5 108 128
Shami_Ahmed 2 1 12
RR_Sarwan 64 1885 2702
CA_Pujara 4 24 69
WB_Rankin 13 39 104
Arafat_Sunny 11 48 95
Q_de_Kock 55 2138 2361
Salman_Butt 40 1653 2099
K_Whatham 1 18 43
MJ_Prior 47 1037 1352
TMK_Mawoyo 7 58 166
DA_Warner 66 2440 2678
MJ_Fourie 2 5 13
DA_Miller 68 1708 1765
JJ_Celestine 3 28 64
S_Jyoti 2 19 43
RT_Ponting 113 4332 5322
Zafar_Gohar 1 15 15
Yasir_Arafat 3 53 89
RP_Singh 15 84 211
Rashid_Khan 5 61 75
MJ_Clarke 142 5225 6950
Habibul_Bashar 16 244 476
Mohammad_Kashif 1 1 11
RR_Patel 10 168 237
England_avg 1981 48914 60854
IH_Romaine 12 175 360
Krishna_Chandran 5 38 119
Taufeeq_Umar 1 3 12
GH_Dockrell 24 181 266
GJ_Maxwell 55 1589 1297
L_Sreekumar 1 13 18
RJ_Nicol 20 585 797
AJ_McKay 9 12 47
KAD_Hurdle 8 25 47
RJ_Peterson 29 458 548
Usman_Ghani 11 337 446
SO_Tikolo 23 453 645
UDU_Chandana 1 1 6
JM_Davison 10 217 200
T_Mishra 15 395 564
GI_Maiden 1 12 14
MR_Marsh 27 848 888
SJ_Harmison 7 36 50
J_Lewis 7 43 49
MN_Waller 46 781 1150
R_Rampaul 33 327 422
CR_Foggo 1 6 5
D_Langford-Smith 8 64 67
Scotland_avg 292 5437 7763
DR_Chumney 6 151 224
RN_ten_Doeschate 13 594 682
KD_Karthik 58 1249 1742
KO_Otieno 4 25 67
CA_Young 3 16 19
AG_Prince 8 148 189
DES_Maxwell 3 54 45
JM_Anderson 52 204 387
TL_Chatara 17 99 173
PA_Nixon 18 297 351
N_Kruger 1 5 20
Raza-ur-Rehman 4 174 215
Mohammad_Amir 14 168 228
TBM_de_Leede 4 39 64
S_Randiv 16 254 363
D_Bishoo 7 10 27
KH_Butt 2 8 29
NM_Lyon 2 8 4
TC_Mutombodzi 3 25 26
RM_Haq 19 221 421
RN_Lewis 6 119 98
Litton_Das 3 78 105
JJ_van_der_Wath 2 9 15
SR_Clark 7 29 51
F_Behardien 34 767 798
NN_Odhiambo 18 189 291
Zeeshan_Siddiqi 1 7 21
P_Mustard 8 136 166
Skhawat_Ali 3 18 60
MS_Chapman 1 124 116
Nasir_Hossain 45 1231 1560
CAK_Walton 4 17 30
IG_Butler 7 78 124
B_Zuiderent 11 148 287
Kamran_Shazad 1 0 3
AL_Kandappah 2 97 159
HJW_Gardiner 9 243 345
TT_Samaraweera 27 627 835
