AM_Ellis 12 411 11 469
AB_de_Villiers 9 205 7 201
A_Nel 33 1253 54 1675
Aamer_Yamin 3 90 1 107
PA_Hitchcock 1 56 0 44
SM_Sharif 6 276 9 331
BB_Sran 3 171 4 165
WP_Masakadza 8 302 12 417
GJ_Batty 2 72 1 78
TM_Odoyo 22 743 29 990
JE_Root 38 822 12 865
BV_Vitori 19 972 30 1008
HA_Varaiya 15 553 18 685
AC_Voges 12 237 5 240
KJ_O'Brien 44 1384 42 1496
RG_Sharma 37 510 10 583
Iftikhar_Ahmed 2 51 1 60
DR_Flynn 2 19 0 18
A_Nehra 45 2101 72 2152
Yasir_Shah 14 665 19 761
Harbhajan_Singh 97 4122 125 5415
DI_Allan 1 13 0 18
KDK_Vithanage 2 17 0 12
Umar_Amin 2 18 0 30
R_Vinay_Kumar 28 1335 40 1330
JO_Holder 34 1538 48 1626
UWMBCA_Welegedara 9 443 17 474
GD_Drummond 6 203 3 255
A_Zampa 2 102 3 121
Gurkeerat_Singh 3 69 1 60
AR_Adams 2 108 1 97
PLS_Gamage 5 228 2 233
PHT_Kaushal 1 25 0 36
TG_Gordon 1 1 0 4
CS_MacLeod 8 221 5 254
MH_Yardy 26 987 19 1227
SM_Harwood 1 59 2 62
Sohail_Khan 12 575 18 646
TL_Chatara 25 1215 39 1444
JC_Tredwell 44 1696 64 2110
CM_Wright 6 213 7 273
R_Sharma 4 178 6 208
AGR_Loudon 1 38 0 37
VS_Solanki 2 26 1 28
SF_Mire 8 231 5 225
HP_Rinke 2 58 2 54
LHD_Dilhara 1 41 0 51
STR_Binny 12 440 21 503
MA_Leask 7 232 2 209
TJ_Murtagh 11 452 20 596
CO_Obuya 12 237 4 265
T_Kamungozi 13 554 12 640
DR_Smith 38 1197 24 1387
AB_Agarkar 26 1170 38 1416
SK_Raina 91 1664 41 1972
BA_Stokes 31 1352 38 1329
N_Ncube 1 71 3 58
S_Sreesanth 32 1588 49 1615
P_Kumar 64 2776 83 3208
OA_Shah 9 138 6 154
Azhar_Ali 12 215 4 240
V_Kohli 45 614 5 602
CKB_Kulasekara 4 82 0 79
Taskin_Ahmed 13 556 21 585
